Week,Cluster,porcentaje_ganancia_maxima,media_ganancia_peso,media_mililitros,mediana_mililitros,media_segundos_bebedero,mediana_segundos_bebedero,media_segundos_comedero,mediana_segundos_comedero,media_eventos_bebedero,mediana_eventos_bebedero,media_eventos_comedero,mediana_eventos_comedero,numero_datos
3,3,52,0.3822160088681574,100.1765,57.900000000000006,23.125,13.0,82.05,69.0,6.7,4.5,8.3,7.5,40
3,4,44,0.3200675693994264,40.43076923076923,4.245,23.615384615384617,14.0,77.0,67.5,4.923076923076923,4.0,6.730769230769231,6.0,26
3,5,37,0.2715599785352412,37.51291666666667,16.115,28.58333333333333,26.0,83.0,82.5,6.458333333333333,6.5,9.125,9.0,24
3,6,31,0.2263277550051489,6.625454545454545,0.0,16.454545454545453,12.0,48.81818181818182,32.0,3.727272727272727,4.0,5.727272727272728,5.0,11
3,7,22,0.1627242712857933,4.2,0.0,21.714285714285715,14.0,63.785714285714285,41.0,3.4285714285714284,3.0,7.357142857142857,6.5,14
3,8,15,0.1106255212955592,100.61111111111111,0.0,34.111111111111114,36.0,109.88888888888889,100.0,8.11111111111111,6.0,10.22222222222222,9.0,9
4,1,75,0.7278727571437295,76.312,54.370000000000005,21.4,18.0,106.8,56.5,6.5,6.5,10.2,6.0,10
4,2,64,0.6230141615387591,44.29066666666667,18.79,15.8,9.0,105.46666666666668,68.0,4.0,2.0,8.933333333333334,8.0,15
4,3,51,0.5011998181732122,71.34357142857144,50.21499999999999,13.642857142857142,11.0,131.42857142857142,151.5,3.857142857142857,4.0,10.785714285714286,12.0,14
4,4,44,0.4287711938248237,73.25,36.425,25.625,20.0,125.96875,86.0,5.90625,4.0,11.125,9.5,32
4,5,39,0.3764334079260381,70.1546511627907,24.39,17.186046511627907,11.0,91.3953488372093,90.0,4.093023255813954,3.0,8.813953488372093,8.0,43
4,6,32,0.3117869645246494,113.91193548387096,77.92,26.548387096774192,22.0,105.80645161290325,74.0,6.709677419354839,6.0,10.387096774193548,8.0,31
4,7,27,0.265918941154748,50.059411764705885,6.94,24.11764705882353,18.0,75.05882352941177,44.0,4.941176470588236,4.0,7.9411764705882355,6.0,17
4,8,20,0.1925364753932363,35.56357142857143,1.795,29.25,26.0,92.42857142857144,80.5,5.964285714285714,4.5,8.428571428571429,8.5,28
5,1,92,0.9073654974951484,129.63333333333333,96.19,28.133333333333333,24.0,165.6,186.0,8.933333333333334,9.0,14.8,14.0,15
5,2,82,0.808335228599592,106.21857142857142,115.91,29.857142857142858,28.0,184.28571428571428,183.0,8.714285714285714,10.0,12.285714285714286,13.0,7
5,3,75,0.7367688383535405,102.35153846153844,24.58,19.692307692307693,15.0,113.92307692307692,82.0,5.923076923076923,4.0,12.461538461538462,8.0,13
5,4,69,0.682895323158823,80.95827586206896,12.61,19.724137931034484,12.0,118.6206896551724,104.0,5.482758620689655,4.0,10.758620689655173,11.0,29
5,5,64,0.6341616353074994,63.13400000000001,30.14,13.133333333333333,11.0,114.73333333333332,98.0,3.6666666666666665,3.0,10.533333333333331,11.0,15
5,6,58,0.5771106080671273,77.47222222222223,36.78,16.77777777777778,13.0,89.77777777777777,57.0,3.888888888888889,3.0,8.11111111111111,7.0,9
5,7,55,0.5476907305953822,60.40833333333333,51.345,11.666666666666666,7.5,81.25,73.0,3.0,2.5,8.416666666666666,8.5,12
5,8,50,0.493376630446046,69.23,41.79,17.466666666666665,17.0,105.6,89.0,4.333333333333333,3.0,9.533333333333331,9.0,15
5,9,43,0.4201049919680507,16.39,0.0,19.6,11.0,83.4,78.0,3.2,3.0,7.2,7.0,5
6,1,98,0.9742903815819474,158.07999999999998,151.77,30.5,32.0,113.875,132.0,9.5,11.0,14.125,12.0,8
6,2,93,0.9228466506295616,181.658,147.43,30.2,34.0,98.0,65.0,9.2,11.0,11.6,11.0,5
6,3,86,0.8538385922247905,54.4475,25.83,19.666666666666668,14.5,78.0,77.5,5.583333333333333,5.0,11.0,12.0,12
6,4,80,0.7968300553947633,33.88454545454545,19.54,19.90909090909091,24.0,55.45454545454545,44.0,5.818181818181818,7.0,7.636363636363637,7.0,11
6,5,77,0.7592394812782611,52.09,12.805,11.083333333333334,8.5,66.5,51.0,3.333333333333333,2.0,7.166666666666667,7.5,12
6,6,73,0.7237053381387688,77.50166666666667,23.845,9.333333333333334,6.5,46.833333333333336,45.0,3.25,2.5,5.416666666666667,4.5,12
6,7,67,0.6610993738145896,72.41636363636364,13.33,12.0,8.0,66.45454545454545,53.0,3.5454545454545454,2.0,7.818181818181818,7.0,11
6,8,58,0.5701552483604867,92.7075,18.655,10.916666666666666,5.0,79.0,48.5,4.25,2.0,8.75,8.5,12
6,9,45,0.4471820165934838,60.23636363636363,31.02,15.727272727272728,9.0,49.0,44.0,4.545454545454546,4.0,5.818181818181818,6.0,11
